False Friend,Wrong Translation,Correct Translation
alto,alto,"high; in Spanish it can also mean ""stop!"" (imperative)"
calzone,calzone,"underwear (of course calzone comes from Italian, but in that language the main use of the word is for underwear)"
canto,canto,"I sing; in Spanish, can also mean pebble, edge, or piece"
casino,casino,brothel
male,male,"evil (n.), bad, wicked, evil (adj.)"
sale,sale,salt
slip,slip,"knickers, panties"
