False Friend,Wrong Translation,Correct Translation
alas,alas,down (direction)
ale,ale,"short for alennus ""discount"" in alennusmyynti ""discount sale"""
aura,aura,plough
he,he,they (plural of he/she)
home,home,mold
ai,ai,oh
juu,juu,yeah
koi,koi,dawn
lammas,lammas,sheep
me,me,we
no,no,"uh, well"
on,on,is
pus,pus,onomatopoeia for a kiss
sale,sale,nickname for Sauli
side,side,"bandage, bond, tie, blindfold"
tie,tie,"tie ""road"", tai ""or"""
villa,villa,wool
